ad,tur,sehir,website,logo,adres
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,Devlet,Çanakkale,https://www.comu.edu.tr,assets/img/logo/106545.png,"Çanakkale Onsekiz Mart Üniversitesi, Terzioğlu Kampüsü, Rektörlük Binası , A Blok  Merkez/ÇANAKKALE"
ÇANKAYA ÜNİVERSİTESİ,Vakıf,Ankara,http://www.cankaya.edu.tr/,assets/img/logo/107012.png,"Çankaya Üniversitesi  Merkez Kampüs : Eskişehir Yolu 29. Km Yukarıyurtçu Mahallesi, Mimar Sinan Caddesi No:4, 06790, Etimesgut / ANKARA"
ÇANKIRI KARATEKİN ÜNİVERSİTESİ,Devlet,Çankırı,https://www.karatekin.edu.tr,assets/img/logo/107056.png,Uluyazı Kampüsü Binası / Çankırı
ÇUKUROVA ÜNİVERSİTESİ,Devlet,Adana,https://www.cu.edu.tr,assets/img/logo/107211.png,"Çukurova Üniversitesi Rektörlüğü 01330 Balcalı, Sarıçam / ADANA"
DEMİROĞLU BİLİM ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.demiroglu.bilim.edu.tr,assets/img/logo/384591.png,Büyükdere Cad. No:120 Esentepe-Şişli İSTANBUL
DİCLE ÜNİVERSİTESİ,Devlet,Diyarbakır,https://www.dicle.edu.tr,assets/img/logo/107723.png,21280 Kıtılbil Mahallesi Sur / Diyarbakır
DOĞUŞ ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.dogus.edu.tr,assets/img/logo/108112.png,Doğuş Üniversitesi Zeamet sk. 34722 Kadıköy/İstanbul
DOKUZ EYLÜL ÜNİVERSİTESİ,Devlet,İzmir,http://www.deu.edu.tr,assets/img/logo/108163.png,Cumhuriyet Bulvarı No:144 Alsancak 35210 Konak/İZMİR
DÜZCE ÜNİVERSİTESİ,Devlet,Düzce,http://www.duzce.edu.tr/,assets/img/logo/109110.png,Düzce Üniversitesi Rektörlüğü Genel Sekreterlik Beçi Kampüsü Merkez Düzce
EGE ÜNİVERSİTESİ,Devlet,İzmir,http://www.ege.edu.tr,assets/img/logo/109290.png,Ege Üniversitesi Rektörlüğü Gençlik Caddesi No:12 PK.35040 Bornova / İzmir
ERCİYES ÜNİVERSİTESİ,Devlet,Kayseri,http://www.erciyes.edu.tr,assets/img/logo/109868.png,Talas Yolu Melikgazi 38039 KAYSERİ
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,Devlet,Erzincan,http://www.erzincan.edu.tr,assets/img/logo/370189.png,Erzincan Binali Yıldırım Üniversitesi Rektörlüğü  Yalnızbağ Yerleşkesi- Erzincan/Merkez
ERZURUM TEKNİK ÜNİVERSİTESİ,Devlet,Erzurum,http://www.erzurum.edu.tr/,assets/img/logo/173495.png,ERZURUM TEKNİK ÜNİVERSİTESİ Ömer Nasuhi Bilmen Mah. Havaalanı Yolu Cad. No:53 YAKUTİYE/ERZURUM
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,Devlet,Eskişehir,http://www.ogu.edu.tr,assets/img/logo/110538.png,Eskişehir Osmangazi Üniversitesi Meşelik Kampüsü Büyükdere Mahallesi Prof.Dr.Nabi AVCI Bulvarı No:4 26040 Eskişehir
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Devlet,Eskişehir,https://www.eskisehir.edu.tr/,assets/img/logo/339997.png,"Eskişehir Teknik Üniversitesi 
İki Eylül Kampüsü 26555 Tepebaşı/ESKİŞEHİR"
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.fsm.edu.tr,assets/img/logo/163897.png,Zeyrek Mah. Büyük karaman Cad. No:53 FATİH/ İSTANBUL
FENERBAHÇE ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.fbu.edu.tr,assets/img/logo/310017.png,"Atatürk Mah. Ataşehir Bulvarı Ertuğrul Gazi Sk. Metropol İstanbul E Blok, 34758 Ataşehir-İstanbul"
FIRAT ÜNİVERSİTESİ,Devlet,Elazığ,http://www.firat.edu.tr/,assets/img/logo/110987.png,Fırat Üniversitesi Rektörlüğü 23119 ELAZIĞ
